Akun,Nama Akun,Tipe Akun
63000400,Biaya Penyusutan Inventaris kantor,Beban
620000,Biaya Umum & Administrasi,Beban
620100,Gaji & Tunjangan Karyawan,Beban
62010100,"Biaya Gaji, Lembur & THR",Beban
620101100,"Biaya Gaji, Lembur & THR",Beban
62010900,Biaya PBJS Karyawan,Beban
62010200,Biaya Bonus Pesangon & Kompensasi,Beban
62010300,Biaya Transport Karyawan,Beban
62010400,Biaya Upah & Honorer,Beban
62010500,Biaya Makan dan Minum,Beban
62010600,Biaya Tunjangan Kesehatan,Beban
62010700,Biaya Asuransi Karyawan,Beban
62010800,BPJS Karyawan,Beban
620300,"Beban Utiliti, Adm, Sewa & Lainnya",Beban
62030100,Biaya Listrik,Beban
62030200,Biaya PAM,Beban
62030300,Biaya Telekomunikasi,Beban
62030400,Biaya Koran & Majalah,Beban
62030500,"Biaya Ekspedisi, Pos & Materai",Beban
62030600,Biaya Transport,Beban
62030700,Biaya Alat Tulis Kantor,Beban
62030800,"STNK, KIR & Pajak Kendaraan",Beban
62031000,Biaya Rumah Tangga,Beban
62031100,Biaya Sewa Gedung,Beban
62031200,Biaya Umum & Adm Lainnya,Beban
62031300,Biaya Sewa Mesin Fotokopi,Beban
62031400,Biaya Lainnya,Beban
62031600,Bisaya Sewa Kendaraan,Beban
62031700,Biaya Jasa Konsultan,Beban
620400,Biaya Pemeliharaan dan Perbaikan,Beban
62040100,Biaya Pemeliharaan,Beban
62040200,Biaya Pemeliharaan Peralatan Kantor,Beban
62040300,Biaya Pemeliharaan Kendaraan,Beban
62040400,"Biaya BBM, tol & parkir",Beban
62011000,BPJS KESEHATAN,Beban
62011100,BPJS  KESEHATAN KARYAWAN,Beban
62011200,Biaya PPN,Beban
62011300,Biaya Pajak Lainnya,Beban
62011400,Biaya PPh Psl 25/29,Beban
62011500,Biaya PPh Psl 21,Beban
62031500,Retribusi & Sumbangan Lainnya,Beban
710000,PENDAPATAN DILUAR USAHA,Pendapatan lain
71000100,Pendapatan Jasa Giro,Pendapatan lain
71000200,Pendapatan Bunga Deposito,Pendapatan lain
71000300,Penjualan Inventory / Perlengkapan,Pendapatan lain
71009900,Pendapatan Lain-Lain,Pendapatan lain
71000400,PPH 4(2),Pendapatan lain
720000,BIAYA DILUAR USAHA,Beban lain-lain
72000100,Biaya Bunga Pinjaman Lainnya,Beban lain-lain
72000200,Biaya Adm Bank & Buku Cek/Giro,Beban lain-lain
72000300,Pajak Jasa Giro,Beban lain-lain
72009900,Beban Pembulatan,Beban lain-lain
810000,Gain/Loss Dispossal F.A,Beban lain-lain
820000,Gain/Loss Revaluation FA,Pendapatan lain
91000200,Realize Gain or Loss IDR,Beban
91000300,Unrealize Gain or Loss IDR,Beban
